,Leads,Strings PWM,Square,,,-10,100.00%,0.0,Square,,,,10,100.00%,0.0,TRUE,FALSE,FALSE,,PW Osc1/Osc2,Sine,2,47.00%,,FALSE,,FALSE,Multi,"2,000",67.00%,"2,000",67.00%,0.00%,100.00%,0.09,max,100.00%,max,0.11,max,100.00%,0.35
,Leads,Trance 5th,Square,,,,100.00%,0.0,Square,,,7,,100.00%,0.0,TRUE,FALSE,FALSE,,PW Osc1/Osc2,Triangle/Sine,6,80.00%,,FALSE,,FALSE,Mono,"20,000",100.00%,"20,000",100.00%,0.00%,0.00%,,,,,0,max,100.00%,0
,Pads,Android Dreams,Square,-2,,,100.00%,0.0,Sawtooth,,,-1,,100.00%,0.0,TRUE,TRUE,TRUE,90.00%,PW Osc1/Osc2 45%; filter cutoff 10%; pitch osc2 3 semis,Triangle,0.25,,,FALSE,,FALSE,Multi,"2,400",69.00%,"1,700",64.00%,30.00%,0.00%,,,,,0.45,max,100.00%,2.25
,Pads,Aurora,Square,,,10,100.00%,0.0,Square,,,,-10,100.00%,0.0,TRUE,FALSE,FALSE,,PW Osc1/Osc2,Triangle/Sine,4,50.00%,,FALSE,,FALSE,Multi,40,10.00%,40,10.00%,65.00%,50.00%,1.5,max,100.00%,0.6,0.6,max,100.00%,0.6
,Pads,Celestial Wash,None,,,,0.00%,-40.0,None,,,,,0.00%,-40.0,,,TRUE,100.00%,Resonance,Square,5.5,100.00%,,FALSE,,FALSE,Multi,"1,000",57.00%,500,46.00%,100.00%,0.00%,,,,,1.65,5.85,0.00%,4.4
,Pads,Dark City,Square,-2,,,100.00%,0.0,Sawtooth,,,-11,-92,100.00%,0.0,TRUE,FALSE,FALSE,,PW Osc1/Osc2,Triangle/Sine,4,45.00%,,FALSE,,FALSE,Multi,300,39.00%,200,33.00%,0.00%,75.00%,5.15,6.35,50.00%,5.2,0,3.9,70.00%,6.35
,Pads,Galactic Cathedral,Square,,-11,,100.00%,0.0,Square,,2,11,,85.00%,,TRUE,FALSE,FALSE,,Filter Cutoff,Triangle/Sine,0.3,10.00%,,FALSE,,FALSE,Multi,"1,200",59.00%,700,51.00%,60.00%,0.00%,,,,,0.4,max,100.00%,2.25
,Pads,Galactic Chapel,Triangle,,,,100.00%,0.0,Triangle,,1,,,85.00%,,TRUE,FALSE,FALSE,,Cutoff/Amp,Triangle/Sine,0.3,10%,,FALSE,,FALSE,Multi,"1,400",61.00%,"1,000",57.00%,65.00%,0.00%,,,,,0.35,max,100.00%,2.25
,Pads,Portus,Triangle,,,,100.00%,0.0,Triangle,,1,,,100.00%,0.0,TRUE,FALSE,FALSE,,None,None,,,,TRUE,1.5,FALSE,Multi,75,19.00%,75,19.00%,70.00%,70.00%,1.8,max,100.00%,2.9,1.5,max,100.00%,3.3
,Pads,Post-Apocalyptic Sync Sweep,Square,-2,,,100.00%,0.0,Square,,-1,,,85.00%,,TRUE,TRUE,FALSE,,Pitch Osc2,Triangle/Sine,0.7,,450 cents,FALSE,,FALSE,Multi,40,10.00%,40,10.00%,65.00%,50.00%,2.1,5.2,0.00%,3,0,max,100.00%,0.6
